Codice Cliente,Ship To Location,Ragione Sociale,Categoria Cliente,Indirizzo Consegna,Shipping Information,Note Scarico,GDO,Customer Match Key,Address Match Key
426052,966932,AGRUSTI & C. SRL,VTIT-WHOLESALERS,VIA TITO SCHIPA SNC 70011 ALBEROBELLO,EVERY DAY 9:00-12:30,,SI,AGRUSTI C SRL,VIA TITO SCHIPA SNC 70011 ALBEROBELLO
426070,967070,GIOCABENE SRL,VTIT-WHOLESALERS,VIA DEL COMMERCIO 5 60127 ANCONA,,,SI,GIOCABENE SRL,VIA DEL COMMERCIO 5 60127 ANCONA
428046,969027,TELEALBA SRL,VTIT-GIOCHERIA,C.SO ASTI2/I BIS 12050 GUARENE,TUE-FRI 930 - 1230,,SI,TELEALBA SRL,C SO ASTI2 I BIS 12050 GUARENE
429078,999846,DIGIVAR SRL,VTIT-WHOLESALERS,"STRADA PROVINCIALE MACERATESE,130 62012 CIVITANOVA MARCHE",,RIBALTA,SI,DIGIVAR SRL,STRADA PROVINCIALE MACERATESE 130 62012 CIVITANOVA MARCHE
429081,967610,GENTILE GIOCATTOLI S.R.L.,VTIT-WHOLESALERS,VIA ALDO MORO 10 95045 MISTERBIANCO,"EVERY DAY 8,30-12,00",,SI,GENTILE GIOCATTOLI S R L,VIA ALDO MORO 10 95045 MISTERBIANCO
429090,967428,ROCCO GIOCATTOLI SRL,VTIT-WHOLESALERS,VIA ANTONIO CARRUCCIO 181/183 00134 ROMA,,,SI,ROCCO GIOCATTOLI SRL,VIA ANTONIO CARRUCCIO 181 183 00134 ROMA
429101,968026,TRE G srl,VTIT-WHOLESALERS,S.S. 16 perFoggia km 648 71016 SAN SEVERO,EVERY DAY 900-1230,,SI,TRE G SRL,S S 16 PERFOGGIA KM 648 71016 SAN SEVERO
429105,967446,TALARICO3 SRL,VTIT-GIOCHERIA,VIA R.LANZINO 8 88049 SOVERIA MANNELLI,EVERY DAY 8-18,,SI,TALARICO3 SRL,VIA R LANZINO 8 88049 SOVERIA MANNELLI
430065,968049,OTTOBRE TRADE SRL,VTIT-GIOCHERIA,VIA LIPARI 19 89015 PALMI,EVERY DAY 9-18,,SI,OTTOBRE TRADE SRL,VIA LIPARI 19 89015 PALMI
430068,968067,RIALTO SPA,VTIT-GIGANTE (Rialto),VIA CLERICI 342 20091 BRESSO,EVERY DAY 7-12,,SI,RIALTO SPA,VIA CLERICI 342 20091 BRESSO
430073,968166,GRUPPO GIODICART srl,VTIT-GIOCHERIA,"S.P.130 KM 0,900  76125 TRANI",EVERY DAY 930-13,,SI,GRUPPO GIODICART SRL,S P 130 KM 0 900 76125 TRANI
430074,968172,MICHELE SOGARI & C. srl,VTIT-WHOLESALERS,"STRADA STATALE 100 KM. 17,5 C/O IL BARICENTRO LOTTO 7 A E B 70010 CASAMASSIMA",EVERY DAY 900-1230,,SI,MICHELE SOGARI C SRL,STRADA STATALE 100 KM 17 5 C O IL BARICENTRO LOTTO 7 A E B 70010 CASAMASSIMA
430076,968186,SEA INGROSS SRL,VTIT-OTHERS SPECIALIST,VIA DEI GELSI 4 31040 CESSALTO,EVERY DAY 730-1130,,SI,SEA INGROSS SRL,VIA DEI GELSI 4 31040 CESSALTO
432041,969129,GIANGIO S.R.L.,VTIT-WHOLESALERS,VIA SEMINI 32 16163 GENOVA,"EVERY DAY 9,00-12,00",,SI,GIANGIO S R L,VIA SEMINI 32 16163 GENOVA
432052,969204,PRENATAL RETAIL GROUP SPA,VTIT-PRENATAL GROUP,"PRG c/o ALS Spa Via Dogana Po, 2/A Blocco M 1.1-Ribalta 81 29015 Barianella Castel San Giovanni","EMAIL WITH PO NUMBER, NUMBER OF PALLETS AND VOLUME IN M3",,SI,PRENATAL RETAIL GROUP SPA,PRG C O ALS SPA VIA DOGANA PO 2 A BLOCCO M 1 1 RIBALTA 81 29015 BARIANELLA CASTEL SAN GIOVANNI
432053,969212,PRENATAL RETAIL GROUP SPA,VTIT-PRENATAL GROUP,"FAO SCHWARZ c/o ALS Spa Via Dogana Po, 2/A Blocco M 1.1-Ribalta 81 29015 Barianella Castel San Giovanni","EMAIL WITH PO NUMBER, NUMBER OF PALLETS AND VOLUME IN M3",,SI,PRENATAL RETAIL GROUP SPA,FAO SCHWARZ C O ALS SPA VIA DOGANA PO 2 A BLOCCO M 1 1 RIBALTA 81 29015 BARIANELLA CASTEL SAN GIOVANNI
432064,969321,L'ISOLA CHE NON C'E DI CORNALETTO C,VTIT-WHOLESALERS,VIA CARNIA 125 E R 16161 GENOVA,,,SI,L ISOLA CHE NON C E DI CORNALETTO C,VIA CARNIA 125 E R 16161 GENOVA
432085,969527,CONSORZIO M.P.,VTIT-GIOCHERIA,CONSORZIO M.P. LIMBIATE - VIA MANARA 2 20812 LIMBIATE,DELIVERED  WITH EPAL,,SI,CONSORZIO M P,CONSORZIO M P LIMBIATE VIA MANARA 2 20812 LIMBIATE
432103,1057284,BABY SERVICE ROMA SRL,VTIT-GIPI,"DEPOSITO VIA VITTORE GHILIANI , 40 00134 ROMA",EVERY DAY 930-1300,,SI,BABY SERVICE ROMA SRL,DEPOSITO VIA VITTORE GHILIANI 40 00134 ROMA
432105,969720,BABY GROSS SRL,VTIT-GIPI,MASTER MAG VIA NATTA SNC 09121 CAGLIARI,EVERY DAY 930-1300 send email with • Document number • Document data • Number of packages • Weight,,SI,BABY GROSS SRL,MASTER MAG VIA NATTA SNC 09121 CAGLIARI
432106,969743,BASILE GIOCATTOLI SRL,VTIT-WHOLESALERS,VIA FEDERICO GAROFOLI  266 37057 S.GIOVANNI LUPATOTO,MON-THUE MORNING,,SI,BASILE GIOCATTOLI SRL,VIA FEDERICO GAROFOLI 266 37057 S GIOVANNI LUPATOTO
432108,969759,ESPRINET S.P.A.,VTIT-WHOLESALERS,VIALE BRIANZA 25 20040 CAMBIAGO,,,SI,ESPRINET S P A,VIALE BRIANZA 25 20040 CAMBIAGO
433037,969969,ASPIAG SERVICE SRL,VTIT-ASPIAG,FLEXILONG SRL -VIA ROLANDINO MAFFEI 37050 OPPEANO,EVERY DAY MORNING,,SI,ASPIAG SERVICE SRL,FLEXILONG SRL VIA ROLANDINO MAFFEI 37050 OPPEANO
434041,971036,INDUSTRA SERVIZI AGROALIMENTARI spa,VTIT-OTHERS HYPER,ZONA IND.LE SP 14 BIS KM 4 09039 VILLACIDRO,EVERY DAY 700-1200,,SI,INDUSTRA SERVIZI AGROALIMENTARI SPA,ZONA IND LE SP 14 BIS KM 4 09039 VILLACIDRO
434062,971356,AMICO BABY S.R.L.,VTIT-WHOLESALERS,"AMICO BABY VIA FLORIO, 8 95045 MISTERBIANCO",09:00/12:30  15:00/17:00,,SI,AMICO BABY S R L,AMICO BABY VIA FLORIO 8 95045 MISTERBIANCO
434075,971513,MEDIGIO S.R.L.,VTIT-WHOLESALERS,VIA PIACENZA 12 92024 CANICATTÌ,09:00/12:00 15:30/18:00,,SI,MEDIGIO S R L,VIA PIACENZA 12 92024 CANICATTI
434099,971870,PRENATAL SPA,VTIT-PRENATAL GROUP,PAD LOG VIA TORNESE 10 22070 GRANDATE,COMPILARE LA PROCEDURA,,SI,PRENATAL SPA,PAD LOG VIA TORNESE 10 22070 GRANDATE
434118,972144,MAZZEO SRL,VTIT-WHOLESALERS,"VIA FOGGIA KM. 0,500 71016 SAN SEVERO",0900-1230,,SI,MAZZEO SRL,VIA FOGGIA KM 0 500 71016 SAN SEVERO
434121,972175,BOCCHIO SRL,VTIT-WHOLESALERS,VIA DEL MELLA 44/E 25131 BRESCIA,,,SI,BOCCHIO SRL,VIA DEL MELLA 44 E 25131 BRESCIA
434129,972317,LENA INGROSSO SRL,VTIT-WHOLESALERS,VIA LUCREZIA ROMANA 85/87 00043 CIAMPINO,800-1300,,SI,LENA INGROSSO SRL,VIA LUCREZIA ROMANA 85 87 00043 CIAMPINO
434129,998547,LENA INGROSSO SRL,VTIT-WHOLESALERS,"VIA VARIANTE DI CANCELLERIA, LOC. QUARTO NEGRONI  00072 ARICCIA",800-1300,,SI,LENA INGROSSO SRL,VIA VARIANTE DI CANCELLERIA LOC QUARTO NEGRONI 00072 ARICCIA
434132,972336,GIOCHI & C. SRL,VTIT-WHOLESALERS,VIA RAVINA 16 10153 TORINO,FROM TUESDAY TO FRIDAY ONLY IN THE MORNING,,SI,GIOCHI C SRL,VIA RAVINA 16 10153 TORINO
434144,972686,MAGGIO 3 srl,VTIT-WHOLESALERS,ZONA INDUSTRIALE SNC 85050 TITO,9:00-12:00,,SI,MAGGIO 3 SRL,ZONA INDUSTRIALE SNC 85050 TITO
435041,974010,ROCCO TOYS SRL,VTIT-WHOLESALERS,VIA VITTORE GHILIANI 42 00034 ROMA,,,SI,ROCCO TOYS SRL,VIA VITTORE GHILIANI 42 00034 ROMA
437037,976182,POMPEO DI NOCENTINI GIORDANO,VTIT-WHOLESALERS,VIA LUNGARNO 225/F 52028 LOC. LE COSTE - TERRANUOVA BRACCIOLINI,"8,30-13,00    14,30-18,00",,SI,POMPEO DI NOCENTINI GIORDANO,VIA LUNGARNO 225 F 52028 LOC LE COSTE TERRANUOVA BRACCIOLINI
437038,976191,BIEMME SRL,VTIT-WHOLESALERS,VIA DE' CATTANI 222 50145 FIRENZE,"8,30-16,30 (venerdì 8,30-13,00)",,SI,BIEMME SRL,VIA DE CATTANI 222 50145 FIRENZE
437054,977140,LA COOPERAZIONE SRL,VTIT-WHOLESALERS,Z.I. PREDDA NIEDDA NORD STR 33 07100 SASSARI,"9,30- 13,00",,SI,LA COOPERAZIONE SRL,Z I PREDDA NIEDDA NORD STR 33 07100 SASSARI
437059,977514,H. T. ITALIA SRL,VTIT-WHOLESALERS,VIA VILLA VELLA 1 81043 CAPUA,,,SI,H T ITALIA SRL,VIA VILLA VELLA 1 81043 CAPUA
437065,977621,GRILLO  S.R.L.,VTIT-WHOLESALERS,VIA PASSO DEL FICO-CAPANNONE B5/1 95121 BICOCCA,"MONDAY-FRIDAY 9,00/12,00",,SI,GRILLO S R L,VIA PASSO DEL FICO CAPANNONE B5 1 95121 BICOCCA
437067,977661,GIOCHI SRL,VTIT-WHOLESALERS,GIOCHI SRL (PV245) - VIA ANDREA COSTA 1 57017 LOC.STAGNO - COLLESALVETTI,,,SI,GIOCHI SRL,GIOCHI SRL PV245 VIA ANDREA COSTA 1 57017 LOC STAGNO COLLESALVETTI
437067,1063304,GIOCHI SRL,VTIT-WHOLESALERS,VIA PIANO DI ROTA 13 57121 LIVORNO,,,SI,GIOCHI SRL,VIA PIANO DI ROTA 13 57121 LIVORNO
437068,977667,PAPINI GIOCATTOLI SPA,VTIT-WHOLESALERS,PAPINI GIOCATTOLI SPA (PV02) - VIA ANDREA COSTA 1 57017 LOC.STAGNO - COLLESALVETTI,9-13/15-19,,SI,PAPINI GIOCATTOLI SPA,PAPINI GIOCATTOLI SPA PV02 VIA ANDREA COSTA 1 57017 LOC STAGNO COLLESALVETTI
437078,977951,MACRO SRL,VTIT-WHOLESALERS,EX STRADA STATALE 131 KM 10 800 09028 SESTU,930-1300,,SI,MACRO SRL,EX STRADA STATALE 131 KM 10 800 09028 SESTU
445135,995568,PAC 2000 A,VTIT-CONAD,"VIA TIBERINA KM 19,300 00065 FIANO ROMANO","E-PAL MAX 1,10MT",,SI,PAC 2000 A,VIA TIBERINA KM 19 300 00065 FIANO ROMANO
